eggID,bd_liz_id,clutch,egg_encl_ID,species,trt,temp,hormone,hatch_date_dmy,season,date_egg_laid_dmy,Julian_lay,days_to_hatch,Julian_hatch_date,egg_mass,egg_length_mm,egg_width_mm,hatch_mass_orig,hatch_svl_orig_mm,hatch_tail_orig_mm,juv1_measure_date_dmy,juv1_measure_SVL_mm,juv1_measure_tail_mm,juv1_measure_mass_g,Liz_ID,juv2_measure_date_dmy,juv2_measure_SVL_mm,juv2_measure_tail_mm,juv2_measure_mass_g,person_juv2,Lizard_ID,liz_status_db,mortality_date_dmy,bd_totl_orig,notes_juv1,notes_juv2,notes_db
EG764_21,LD764_21,CL218_21,E025_M,delicata,C_23_Topical,23,control,24/2/2022,2021/22,5/1/2022,5,50,55,0.139,8.08,5.94,0.127,18,27,3/6/2022,28,37,0.409,LD764_21,NA,NA,NA,NA,,LD764_21,ALIVE,NA,,,,
EG767_21,LD767_21,CL219_21,E004_F120,delicata,CORT_23_10pg_Topical,23,high,24/2/2022,2021/22,5/1/2022,5,50,55,0.177,9.16,6.25,0.122,16,25,3/6/2022,30,42,0.422,LD767_21,NA,NA,NA,NA,,LD767_21,ALIVE,NA,,,,
EG765_21,LD765_21,CL218_21,E025_M,delicata,CORT_23_5pg_Topical,23,low,24/2/2022,2021/22,5/1/2022,5,50,55,0.156,8.63,5.63,0.136,18,27,3/6/2022,30,44,0.482,LD765_21,10/8/2022,31,43,0.603,PR,LD765_21,ALIVE,NA,,,,
EG793_21,LD793_21,CL224_21,E019_F120,delicata,CORT_23_5pg_Topical,23,low,24/2/2022,2021/22,7/1/2022,7,48,55,0.129,8.32,5.47,0.104,17,24,3/6/2022,29.5,44.5,0.467,LD793_21,10/8/2022,32,50,0.68,PR,LD793_21,ALIVE,NA,,,,
EG786_21,LD786_21,CL222_21,E031_M,delicata,CORT_28_10pg_Topical,28,high,24/2/2022,2021/22,7/1/2022,7,48,55,0.172,9.18,6.07,0.125,18,27,3/6/2022,29,42,0.42,LD786_21,10/8/2022,33,44,0.636,PR,LD786_21,ALIVE,NA,,,,
EG828_21,LD828_21,CL233_21,E016_M,delicata,C_23_Topical,23,control,24/2/2022,2021/22,10/1/2022,10,45,55,0.137,7.24,6.02,0.099,15,19,3/6/2022,28,33,0.342,LD828_21,10/8/2022,28,39,0.448,PR,LD828_21,ALIVE,NA,,,,
EG795_21,LD795_21,CL225_21,E030_M,delicata,CORT_23_5pg_Topical,23,low,25/2/2022,2021/22,7/1/2022,7,49,56,0.158,7.32,6.39,0.116,16,24,3/6/2022,30.5,43,0.531,LD795_21,10/8/2022,34,49,0.746,PR,LD795_21,ALIVE,NA,,,,
EG727_21,LD727_21,CL210_21,E001_F120,delicata,C_23_Topical,23,control,27/2/2022,2021/22,1/1/2022,1,57,58,0.126,8.05,5.84,0.115,18,24,NA,NA,NA,NA,LD727_21,NA,NA,NA,NA,,LD727_21,ALIVE,NA,,,"** Note that this ID was unclear. Could be labelled 772, but more likely 727. 772 is already hatched. Defnietly from 23C treatment","** Note that this ID was unclear. Could be labelled 772, but more likely 727. 772 is already hatched. Defnietly from 23C treatment"
EG781_21,LD781_21,CL221_21,E018_M,delicata,C_23_Topical,23,control,27/2/2022,2021/22,7/1/2022,7,51,58,0.126,8.09,5.55,0.116,19,26,NA,NA,NA,NA,LD781_21,NA,NA,NA,NA,,LD781_21,DEAD,2/6/2022,,,,died after hatching; 02/06/22
EG779_21,LD779_21,CL221_21,E018_M,delicata,CORT_23_5pg_Topical,23,low,27/2/2022,2021/22,7/1/2022,7,51,58,0.145,7.83,5.92,0.127,18,27,3/6/2022,25.5,34,0.318,LD779_21,NA,NA,NA,NA,,LD779_21,ALIVE,NA,,,,
