eggID,bd_liz_id,clutch,egg_encl_ID,species,trt,temp,hormone,mortality_db,liz_status_db,hatch_date_ymd,mortality_date_dmy,season,date_egg_laid_.day.m.year..,Julian_lay,days_to_hatch,Julian_hatch_date,Julian_remeasured,days_posthatch,egg_mass,egg_length_mm,egg_width_mm,bd_mass_orig,bd_svl_orig_mm,bd_tail_orig_mm,bd_totl_orig,remeasure_date,remeasure_SVL,remeasure_tail,remeasure_mass,re_measure_notes,bd_liz_id.1,measure_date_juv2,measure_SVL_juv2,measure_tail_juv2,measure_mass_juv2,measure_notes_juv2,person_juv2,notes_juv2,notes_db
EG802_21,LD802_21,CL227_21,E009_M,delicata,CORT_28_5pg_Topical,28,low,0,DEAD,22/2/04,4/2/22,2021/22,7/1/22,7,28,35,154,119,0.16,7.63,6.25,0.095,17,21,,,NA,NA,NA,,LD802_21,,NA,NA,NA,,,died after hatching; 4/2/22,died after hatching; 4/2/22
EG815_21,LD815_21,CL231_21,E010_M,delicata,C_23_Topical,23,control,1,ALIVE,22/3/01,,2021/22,10/1/22,10,50,60,154,94,0.182,9.12,6.37,0.154,20,25,,3/6/22,3,4.25,0.473,,LD815_21,10/8/22,3.1,4.2,0.582,,PR,,
EG822_21,LD822_21,CL232_21,E021_M,delicata,C_23_Topical,23,control,1,ALIVE,,,2021/22,10/1/22,10,53,63,154,91,0.142,8.38,5.8,0.135,17,24,,3/6/22,2.7,3.5,0.389,,LD822_21,10/8/22,2.9,3.7,0.435,,PR,,
EG828_21,LD828_21,CL233_21,E016_M,delicata,C_23_Topical,23,control,1,ALIVE,22/2/24,,2021/22,10/1/22,10,45,55,154,99,0.137,7.24,6.02,0.099,15,19,,3/6/22,2.8,3.3,0.342,,LD828_21,10/8/22,2.8,3.9,0.448,,PR,,
EG803_21,LD803_21,CL228_21,E029_F120,delicata,C_28_Topical,28,control,1,ALIVE,22/2/07,,2021/22,10/1/22,10,28,38,154,116,0.149,7.82,6.15,0.096,17,21,,3/6/22,2.95,4.4,0.442,,LD803_21,10/8/22,3.1,4.6,0.677,,PR,,
EG808_21,LD808_21,CL229_21,E020_F120,delicata,C_28_Topical,28,control,1,ALIVE,22/2/11,,2021/22,10/1/22,10,32,42,154,112,0.117,7.87,5.44,0.088,16,14,,3/6/22,3.1,3.1,0.446,tail has regrown; was lost at one point,LD808_21,10/8/22,3.5,3.1,0.641,,PR,,
EG823_21,LD823_21,CL232_21,E021_M,delicata,C_28_Topical,28,control,1,ALIVE,22/2/10,,2021/22,10/1/22,10,31,41,154,113,0.148,8.28,5.8,0.126,18,22,,3/6/22,3.1,4.5,0.535,,LD823_21,10/8/22,3.2,4.7,0.726,,PR,,
EG825_21,LD825_21,CL233_21,E016_M,delicata,C_28_Topical,28,control,1,ALIVE,22/2/07,,2021/22,10/1/22,10,28,38,154,116,0.148,7.6,6.3,0.099,16,23,,3/6/22,2.8,4.1,0.436,,LD825_21,10/8/22,3.2,5.3,0.619,,DCL,,
EG832_21,LD832_21,CL234_21,E002_F120,delicata,C_28_Topical,28,control,1,ALIVE,22/2/13,,2021/22,10/1/22,10,34,44,154,110,0.179,8.96,6.24,0.131,18,27,,3/6/22,2.95,4.2,0.393,,LD832_21,,NA,NA,NA,,,,
EG807_21,LD807_21,CL229_21,E020_F120,delicata,CORT_23_10pg_Topical,23,high,1,ALIVE,22/3/01,,2021/22,10/1/22,10,50,60,154,94,0.102,7.48,5.12,0.071,15,18,,3/6/22,2.85,3.5,0.347,,LD807_21,10/8/22,2.8,3.5,0.392,,DCL,,
EG816_21,LD816_21,CL231_21,E010_M,delicata,CORT_23_10pg_Topical,23,high,1,ALIVE,22/3/01,,2021/22,10/1/22,10,50,60,154,94,0.176,8.62,6.11,0.14,18,26,,3/6/22,3.1,4.35,0.455,,LD816_21,10/8/22,3.1,4.3,0.582,,PR,,
EG818_21,LD818_21,CL232_21,E021_M,delicata,CORT_23_10pg_Topical,23,high,1,ALIVE,,,2021/22,10/1/22,10,53,63,154,91,0.145,8.45,5.58,0.134,18,24,,3/6/22,2.8,3.35,0.37,tail grown back,LD818_21,10/8/22,3.1,4.4,0.556,,PR,,
